"","Time","Time.Code","Country.Name","Country.Code","EG.CFT.ACCS.ZS","EN.ATM.CO2E.KD.GD","SL.AGR.EMPL.ZS","SL.AGR.EMPL.FE.ZS","SL.AGR.EMPL.MA.ZS","SL.SRV.EMPL.ZS","SL.SRV.EMPL.FE.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.MKTP.PP.CD","NY.GNP.PCAP.KD","NY.GNP.MKTP.PC.CD","NY.GNP.PCAP.PP.CD","NY.GNP.MKTP.PP.CD","IT.NET.USER.ZS","NV.IND.MANF.ZS","NV.IND.MANF.CD","SH.ANM.ALLW.ZS","SP.URB.TOTL","Happiness_score"
"42",2015,"YR2015","Costa Rica","CRI",94.3,0.133588657,12.31000042,4.199999809,17.36000061,68.54000092,86.16999817,92795146907,82852849095,11144.61132,11144.61132,16360,79307773127,59.76295014,11.60708171,6551259500,12.6,3726120,7.226
"143",2015,"YR2015","New Zealand","NZL",100,0.18077722,6.139999866,4,8.029999733,72.27999878,86,1.89e+11,1.73e+11,37349.13779,37349.13779,36240,1.67e+11,85.2,11.28221195,20089611046,9.3,3979802,7.286
"123",2015,"YR2015","Malaysia","MYS",96.8,0.771681742,12.47000027,7.900000095,15.26000023,60.00999832,72.83999634,7.5e+11,7.51e+11,9683.621691,9683.621691,24130,7.3e+11,71.06406781,22.29329748,67181922929,30.7,22464991,5.77
"39",2015,"YR2015","Comoros","COM",5.7,0.186329694,37.27000046,35.43999863,38.52000046,43.66999817,47.77999878,2300821255,2106508753,1247.540332,1247.540332,2720,2114908311,7.459161386,NA,NA,33,221336,3.956
"195",2015,"YR2015","Thailand","THA",78.9,0.655575219,32.27999878,29.81999969,34.34999847,44.04000092,49.38999939,1.12e+12,1.09e+12,5538.786457,5538.786457,15010,1.03e+12,39.31612674,27.3740712,1.1e+11,22.7,32772703,6.455
"149",2015,"YR2015","Norway","NOR",100,0.100155119,2.00999999,0.920000017,2.99000001,77.87000275,91.87000275,3.27e+11,3.13e+11,77445.51261,77445.51261,62880,3.26e+11,96.81032569,6.873817164,26519293169,11,4207493,7.522
"176",2015,"YR2015","Small states","SST",61.45316175,0.504318255,19.33772487,20.41058396,18.67269292,57.20526652,70.2089737,7.9e+11,7.54e+11,11429.87896,11429.87896,19061.98185,7.34e+11,44.20523324,10.51513732,47585528273,30.07370083,22103488,NA
"87",2015,"YR2015","IDA & IBRD total","IBT",56.74031921,0.743214979,34.07498994,33.50655531,34.43923234,42.63743081,48.76898568,5.97e+13,5.9e+13,4448.325425,4448.325425,9403.717568,5.82e+13,33.17308308,20.67955904,5.77e+12,31.44703041,3018348768,NA
"36",2015,"YR2015","Chile","CHL",100,0.336054072,9.380000114,4.53000021,12.75,67.33999634,84.23999786,4.37e+11,4.05e+11,13163.76152,13163.76152,22010,3.96e+11,76.62959195,10.39886479,25216898735,8,15698029,6.67
"124",2015,"YR2015","Maldives","MDV",97.9,0.328511331,9.829999924,2.400000095,12.32999992,71.77999878,75.91000366,7862721296,7628331940,8302.58162,8302.58162,15410,7011178134,54.46195515,1.917146543,78783695.49,48.3,175274,NA
"61",2015,"YR2015","Ethiopia","ETH",4.3,0.199413727,69.40000153,61.93999863,75.73000336,21.82999992,29.13999939,1.79e+11,1.67e+11,637.9386695,637.9386695,1650,1.66e+11,13.85517556,4.404619139,2844914210,22.5,19590312,4.512
"197",2015,"YR2015","Togo","TGO",6.6,0.435316493,38.68000031,35.83000183,41.50999832,46.61999893,49.20999908,14063907851,10232891545,590.1150714,590.1150714,1440,10577120514,7.12,6.807005648,284591796.8,46.7,2936588,2.839
"153",2015,"YR2015","Pakistan","PAK",42.1,0.604643476,41.00999832,72.08000183,32.56999969,34.97000122,13.42000008,9.6e+11,9.82e+11,1333.606755,1333.606755,4850,9.67e+11,11,12.79208896,34609781049,42,71845554,5.194
"178",2015,"YR2015","South Africa","ZAF",83.4,1.337696936,5.610000134,4.230000019,6.659999847,70.56999969,84.04000092,7.76e+11,7.59e+11,6116.425843,6116.425843,13390,7.42e+11,51.91911572,12.51794447,43400939046,28.9,35905875,4.642
"58",2015,"YR2015","Equatorial Guinea","GNQ",24,0.541504053,38.36000061,43.47999954,35.36000061,38.84999847,43.29999924,33086370154,28095292742,8510.380304,8510.380304,18130,21190569158,21.3199999,17.8446575,2352906751,45.8,825201,NA
"162",2015,"YR2015","Pre-demographic dividend","PRE",14.31908455,0.344813253,54.35458759,56.83051173,52.32197678,35.04477983,36.01277499,3.04e+12,2.92e+12,1516.571324,1516.571324,3354.30094,2.84e+12,13.00256264,8.447365565,1.12e+11,43.71531693,334869045,NA
"93",2015,"YR2015","Iran, Islamic Rep.","IRN",96.6,1.564430926,18.03000069,22.81999969,17.14999962,49.43999863,53.38000107,1.15e+12,1.13e+12,5204.557531,5204.557531,14420,1.13e+12,45.33497615,13.45074441,54907676253,23,57580314,NA
"212",2015,"YR2015","Vietnam","VNM",59.6,1.082585385,44.02000046,45.45000076,42.70999908,33.24000168,35.24000168,7.46e+11,7e+11,2450.634182,2450.634182,7170,6.65e+11,45,NA,NA,18,31333195,5.36
"37",2015,"YR2015","China","CHN",68.4,0.888702511,28.59000015,25.03000069,31.40999985,42.22999954,49.09000015,1.74e+13,1.78e+13,7978.179722,7978.179722,12840,1.77e+13,50.3,28.95167058,3.2e+12,14.9,765822300,5.14
"142",2015,"YR2015","Netherlands","NLD",100,0.206608182,2.319999933,1.50999999,3.00999999,81.25,92.44999695,8.97e+11,8.52e+11,45230.016,45230.016,50330,8.53e+11,91.72413793,10.80175882,82695324277,11.5,15275237,7.378
"63",2015,"YR2015","Europe & Central Asia","ECS",95.92728237,0.296411408,9.019471231,8.116103696,9.766533003,66.40963882,78.69535605,2.97e+13,2.81e+13,22500.47109,22500.47109,30707.04031,2.78e+13,70.01831428,14.12458982,2.9e+12,16.36042699,648297897,NA
"179",2015,"YR2015","South Asia","SAS",43.88329413,0.897197663,44.94614451,60.80468014,40.37207389,31.37219669,22.30943407,9.23e+12,9.11e+12,1532.575592,1532.575592,5167.082747,9.04e+12,14.17472639,15.26326242,4.12e+11,49.13093101,572716485,NA
"213",2015,"YR2015","World","WLD",63.06847757,0.439085235,28.80944645,27.55325018,29.63095175,48.05346686,56.08852056,1.14e+14,1.12e+14,10252.05448,10252.05448,15149.83389,1.11e+14,40.45705481,16.36514268,1.23e+13,28.8,3960624201,NA
